ID	Order	Superfamily
rnd-1_family-13	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	DNA	hAT-Ac
rnd-1_family-61	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-113	Simple_repeat	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-158	Simple_repeat	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-166	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-176	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-180	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
